Date,Nifty,NiftyLag1,NiftyLag2,NiftyLag3
2000-01-01,1546.2,,,
2000-02-01,1654.8,1546.2,,
2000-03-01,1528.45,1654.8,1546.2,
2000-04-01,1406.55,1528.45,1654.8,1546.2
2000-05-01,1380.45,1406.55,1528.45,1654.8
2000-06-01,1471.45,1380.45,1406.55,1528.45
2000-07-01,1332.85,1471.45,1380.45,1406.55
2000-08-01,1394.1,1332.85,1471.45,1380.45
2000-09-01,1271.65,1394.1,1332.85,1471.45
2000-10-01,1172.75,1271.65,1394.1,1332.85
2000-11-01,1268.15,1172.75,1271.65,1394.1
2000-12-01,1263.55,1268.15,1172.75,1271.65
2001-01-01,1371.7,1263.55,1268.15,1172.75
2001-02-01,1351.4,1371.7,1263.55,1268.15
2001-03-01,1148.2,1351.4,1371.7,1263.55
2001-04-01,1125.25,1148.2,1351.4,1371.7
2001-05-01,1167.9,1125.25,1148.2,1351.4
2001-06-01,1107.9,1167.9,1125.25,1148.2
2001-07-01,1072.85,1107.9,1167.9,1125.25
2001-08-01,1053.75,1072.85,1107.9,1167.9
2001-09-01,913.85,1053.75,1072.85,1107.9
2001-10-01,971.9,913.85,1053.75,1072.85
2001-11-01,1067.15,971.9,913.85,1053.75
2001-12-01,1059.05,1067.15,971.9,913.85
2002-01-01,1075.4,1059.05,1067.15,971.9
2002-02-01,1142.05,1075.4,1059.05,1067.15
2002-03-01,1129.55,1142.05,1075.4,1059.05
2002-04-01,1084.5,1129.55,1142.05,1075.4
2002-05-01,1028.8,1084.5,1129.55,1142.05
2002-06-01,1057.8,1028.8,1084.5,1129.55
2002-07-01,958.9,1057.8,1028.8,1084.5
2002-08-01,1010.6,958.9,1057.8,1028.8
2002-09-01,963.15,1010.6,958.9,1057.8
2002-10-01,951.4,963.15,1010.6,958.9
2002-11-01,1050.15,951.4,963.15,1010.6
2002-12-01,1093.5,1050.15,951.4,963.15
2003-01-01,1041.85,1093.5,1050.15,951.4
2003-02-01,1063.4,1041.85,1093.5,1050.15
2003-03-01,978.2,1063.4,1041.85,1093.5
2003-04-01,934.05,978.2,1063.4,1041.85
2003-05-01,1006.8,934.05,978.2,1063.4
2003-06-01,1134.15,1006.8,934.05,978.2
