distance,time,traffic,night,fare
1,5,0,0,30
1,5,0,1,40
1,5,1,0,45
1,5,1,1,55
1,10,0,0,40
1,10,0,1,50
1,10,1,0,55
1,10,1,1,65
1,15,0,0,50
1,15,0,1,60
1,15,1,0,65
1,15,1,1,75
1,20,0,0,60
1,20,0,1,70
1,20,1,0,75
1,20,1,1,85
1,25,0,0,70
1,25,0,1,80
1,25,1,0,85
1,25,1,1,95
1,30,0,0,80
1,30,0,1,90
1,30,1,0,95
1,30,1,1,105
1,35,0,0,90
1,35,0,1,100
1,35,1,0,105
1,35,1,1,115
1,40,0,0,100
1,40,0,1,110
1,40,1,0,115
1,40,1,1,125
1,45,0,0,110
1,45,0,1,120
1,45,1,0,125
1,45,1,1,135
1,50,0,0,120
1,50,0,1,130
1,50,1,0,135
1,50,1,1,145
1,55,0,0,130
1,55,0,1,140
1,55,1,0,145
1,55,1,1,155
1,60,0,0,140
1,60,0,1,150
1,60,1,0,155
1,60,1,1,165
2,5,0,0,50
2,5,0,1,60
2,5,1,0,65
2,5,1,1,75
2,10,0,0,60
2,10,0,1,70
2,10,1,0,75
2,10,1,1,85
2,15,0,0,70
2,15,0,1,80
2,15,1,0,85
2,15,1,1,95
2,20,0,0,80
2,20,0,1,90
2,20,1,0,95
2,20,1,1,105
2,25,0,0,90
2,25,0,1,100
2,25,1,0,105
2,25,1,1,115
2,30,0,0,100
2,30,0,1,110
2,30,1,0,115
2,30,1,1,125
2,35,0,0,110
2,35,0,1,120
2,35,1,0,125
2,35,1,1,135
2,40,0,0,120
2,40,0,1,130
2,40,1,0,135
2,40,1,1,145
2,45,0,0,130
2,45,0,1,140
2,45,1,0,145
2,45,1,1,155
2,50,0,0,140
2,50,0,1,150
2,50,1,0,155
2,50,1,1,165
2,55,0,0,150
2,55,0,1,160
2,55,1,0,165
2,55,1,1,175
2,60,0,0,160
2,60,0,1,170
2,60,1,0,175
2,60,1,1,185
3,5,0,0,70
3,5,0,1,80
3,5,1,0,85
3,5,1,1,95
3,10,0,0,80
3,10,0,1,90
3,10,1,0,95
3,10,1,1,105
3,15,0,0,90
3,15,0,1,100
3,15,1,0,105
3,15,1,1,115
3,20,0,0,100
3,20,0,1,110
3,20,1,0,115
3,20,1,1,125
3,25,0,0,110
3,25,0,1,120
3,25,1,0,125
3,25,1,1,135
3,30,0,0,120
3,30,0,1,130
3,30,1,0,135
3,30,1,1,145
3,35,0,0,130
3,35,0,1,140
3,35,1,0,145
3,35,1,1,155
3,40,0,0,140
3,40,0,1,150
3,40,1,0,155
3,40,1,1,165
3,45,0,0,150
3,45,0,1,160
3,45,1,0,165
3,45,1,1,175
3,50,0,0,160
3,50,0,1,170
3,50,1,0,175
3,50,1,1,185
3,55,0,0,170
3,55,0,1,180
3,55,1,0,185
3,55,1,1,195
3,60,0,0,180
3,60,0,1,190
3,60,1,0,195
3,60,1,1,205
4,5,0,0,90
4,5,0,1,100
4,5,1,0,105
4,5,1,1,115
4,10,0,0,100
4,10,0,1,110
4,10,1,0,115
4,10,1,1,125
4,15,0,0,110
4,15,0,1,120
4,15,1,0,125
4,15,1,1,135
4,20,0,0,120
4,20,0,1,130
4,20,1,0,135
4,20,1,1,145
4,25,0,0,130
4,25,0,1,140
4,25,1,0,145
4,25,1,1,155
4,30,0,0,140
4,30,0,1,150
4,30,1,0,155
4,30,1,1,165
4,35,0,0,150
4,35,0,1,160
4,35,1,0,165
